src,sport,dst,dport,cwnd,time,id,bw,mrtt
10.0.0.2,46157,10.0.0.4,38340,10,0.0,1,0,0
10.0.0.2,46157,10.0.0.4,38340,10,0.013000000000147338,1,0,0
10.0.0.2,46157,10.0.0.4,38340,10,0.02800000000002001,1,0,0
10.0.0.2,46157,10.0.0.4,38340,17,0.0420000000001437,1,0,0
10.0.0.2,46157,10.0.0.4,38340,17,0.055000000000063665,1,0,0
10.0.0.2,46157,10.0.0.4,38340,17,0.07000000000016371,1,0,0
10.0.0.2,46157,10.0.0.4,38340,34,0.08600000000001273,1,0,0
10.0.0.2,46157,10.0.0.4,38340,34,0.10000000000013642,1,0,0
10.0.0.2,46157,10.0.0.4,38340,34,0.11400000000003274,1,0,0
10.0.0.2,46157,10.0.0.4,38340,63,0.13000000000010914,1,0,0
10.0.0.2,46157,10.0.0.4,38340,63,0.14400000000000546,1,0,0
10.0.0.2,46157,10.0.0.4,38340,79,0.15800000000012915,1,0,0
10.0.0.2,46157,10.0.0.4,38340,126,0.17200000000002547,1,0,0
10.0.0.2,46157,10.0.0.4,38340,126,0.18900000000007822,1,0,0
10.0.0.2,46157,10.0.0.4,38340,179,0.20500000000015461,1,0,0
10.0.0.2,46157,10.0.0.4,38340,252,0.22200000000020736,1,0,0
10.0.0.2,46157,10.0.0.4,38340,252,0.23600000000010368,1,0,0
10.0.0.2,46157,10.0.0.4,38340,370,0.25300000000015643,1,0,0
10.0.0.2,46157,10.0.0.4,38340,444,0.26700000000005275,1,0,0
10.0.0.2,46157,10.0.0.4,38340,444,0.2820000000001528,1,0,0
10.0.0.2,46157,10.0.0.4,38340,444,0.2980000000000018,1,0,0
10.0.0.2,46157,10.0.0.4,38340,444,0.31300000000010186,1,0,0
10.0.0.2,46157,10.0.0.4,38340,444,0.3280000000002019,1,0,0
10.0.0.2,46157,10.0.0.4,38340,444,0.3430000000000746,1,0,0
10.0.0.2,46157,10.0.0.4,38340,444,0.359000000000151,1,0,0
10.0.0.2,46157,10.0.0.4,38340,444,0.375,1,0,0
10.0.0.2,46157,10.0.0.4,38340,444,0.39200000000005275,1,0,0
10.0.0.2,46157,10.0.0.4,38340,444,0.4070000000001528,1,0,0
10.0.0.2,46157,10.0.0.4,38340,444,0.42400000000020555,1,0,0
10.0.0.2,46157,10.0.0.4,38340,444,0.44000000000005457,1,0,0
10.0.0.2,46157,10.0.0.4,38340,444,0.4580000000000837,1,0,0
10.0.0.2,46157,10.0.0.4,38340,444,0.4750000000001364,1,0,0
10.0.0.2,46157,10.0.0.4,38340,444,0.4900000000000091,1,0,0
10.0.0.2,46157,10.0.0.4,38340,444,0.5050000000001091,1,0,0
10.0.0.2,46157,10.0.0.4,38340,444,0.5200000000002092,1,0,0
10.0.0.2,46157,10.0.0.4,38340,444,0.5360000000000582,1,0,0
10.0.0.2,46157,10.0.0.4,38340,444,0.553000000000111,1,0,0
10.0.0.2,46157,10.0.0.4,38340,444,0.5670000000000073,1,0,0
10.0.0.2,46157,10.0.0.4,38340,444,0.581000000000131,1,0,0
10.0.0.2,46157,10.0.0.4,38340,444,0.5960000000000036,1,0,0
10.0.0.2,46157,10.0.0.4,38340,444,0.6100000000001273,1,0,0
10.0.0.2,46157,10.0.0.4,38340,444,0.625,1,0,0
10.0.0.2,46157,10.0.0.4,38340,444,0.6390000000001237,1,0,0
10.0.0.2,46157,10.0.0.4,38340,444,0.65300000000002,1,0,0
10.0.0.2,46157,10.0.0.4,38340,444,0.66800000000012,1,0,0
10.0.0.2,46157,10.0.0.4,38340,444,0.6820000000000164,1,0,0
10.0.0.2,46157,10.0.0.4,38340,444,0.6960000000001401,1,0,0
10.0.0.2,46157,10.0.0.4,38340,444,0.7110000000000127,1,0,0
10.0.0.2,46157,10.0.0.4,38340,444,0.7250000000001364,1,0,0
10.0.0.2,46157,10.0.0.4,38340,444,0.7400000000000091,1,0,0
10.0.0.2,46157,10.0.0.4,38340,444,0.7540000000001328,1,0,0
10.0.0.2,46157,10.0.0.4,38340,444,0.7700000000002092,1,0,0
10.0.0.2,46157,10.0.0.4,38340,444,0.7860000000000582,1,0,0
10.0.0.2,46157,10.0.0.4,38340,444,0.8020000000001346,1,0,0
10.0.0.2,46157,10.0.0.4,38340,444,0.8160000000000309,1,0,0
10.0.0.2,46157,10.0.0.4,38340,444,0.8300000000001546,1,0,0
10.0.0.2,46157,10.0.0.4,38340,444,0.8440000000000509,1,0,0
10.0.0.2,46157,10.0.0.4,38340,444,0.859000000000151,1,0,0
10.0.0.2,46157,10.0.0.4,38340,444,0.8730000000000473,1,0,0
10.0.0.2,46157,10.0.0.4,38340,444,0.8880000000001473,1,0,0
10.0.0.2,46157,10.0.0.4,38340,444,0.9039999999999964,1,0,0
10.0.0.2,46157,10.0.0.4,38340,444,0.9190000000000964,1,0,0
10.0.0.2,46157,10.0.0.4,38340,444,0.9329999999999927,1,0,0
10.0.0.2,46157,10.0.0.4,38340,444,0.9470000000001164,1,0,0
10.0.0.2,46157,10.0.0.4,38340,444,0.9619999999999891,1,0,0
10.0.0.2,46157,10.0.0.4,38340,444,0.9760000000001128,1,0,0
10.0.0.2,46157,10.0.0.4,38340,444,0.9909999999999854,1,0,0
10.0.0.2,46157,10.0.0.4,38340,444,1.0050000000001091,1,0,0
10.0.0.2,46157,10.0.0.4,38340,444,1.0200000000002092,1,0,0
10.0.0.2,46157,10.0.0.4,38340,444,1.0340000000001055,1,0,0
10.0.0.2,46157,10.0.0.4,38340,444,1.0480000000000018,1,0,0
10.0.0.2,46157,10.0.0.4,38340,444,1.0620000000001255,1,0,0
10.0.0.2,46157,10.0.0.4,38340,444,1.0750000000000455,1,0,0
10.0.0.2,46157,10.0.0.4,38340,444,1.0900000000001455,1,0,0
10.0.0.2,46157,10.0.0.4,38340,444,1.1050000000000182,1,0,0
10.0.0.2,46157,10.0.0.4,38340,444,1.1200000000001182,1,0,0
10.0.0.2,46157,10.0.0.4,38340,444,1.1340000000000146,1,0,0
10.0.0.2,46157,10.0.0.4,38340,444,1.1480000000001382,1,0,0
10.0.0.2,46157,10.0.0.4,38340,444,1.163000000000011,1,0,0
10.0.0.2,46157,10.0.0.4,38340,444,1.1770000000001346,1,0,0
10.0.0.2,46157,10.0.0.4,38340,444,1.193000000000211,1,0,0
10.0.0.2,46157,10.0.0.4,38340,444,1.2070000000001073,1,0,0
10.0.0.2,46157,10.0.0.4,38340,444,1.2210000000000036,1,0,0
10.0.0.2,46157,10.0.0.4,38340,444,1.2360000000001037,1,0,0
10.0.0.2,46157,10.0.0.4,38340,444,1.25,1,0,0
10.0.0.2,46157,10.0.0.4,38340,444,1.2660000000000764,1,0,0
10.0.0.2,46157,10.0.0.4,38340,444,1.2810000000001764,1,0,0
10.0.0.2,46157,10.0.0.4,38340,444,1.2970000000000255,1,0,0
10.0.0.2,46157,10.0.0.4,38340,444,1.3110000000001492,1,0,0
10.0.0.2,46157,10.0.0.4,38340,444,1.3250000000000455,1,0,0
10.0.0.2,46157,10.0.0.4,38340,444,1.3390000000001692,1,0,0
10.0.0.2,46157,10.0.0.4,38340,444,1.3540000000000418,1,0,0
10.0.0.2,46157,10.0.0.4,38340,444,1.3690000000001419,1,0,0
10.0.0.2,46157,10.0.0.4,38340,444,1.3820000000000618,1,0,0
