rate,burst,lat,backlog,limit,delay,ip,time,id
300000000.0,14962.0,401.0,90.0,1000,0.04,10.0.0.7,0.0,1
300000000.0,14962.0,401.0,0.0,1000,0.04,10.0.0.7,0.0420000000001437,1
300000000.0,14962.0,401.0,0.0,1000,0.04,10.0.0.7,0.060000000000172804,1
300000000.0,14962.0,401.0,0.0,1000,0.04,10.0.0.7,0.07600000000002183,1
300000000.0,14962.0,401.0,0.0,1000,0.04,10.0.0.7,0.09300000000007458,1
300000000.0,14962.0,401.0,0.0,1000,0.04,10.0.0.7,0.10700000000019827,1
300000000.0,14962.0,401.0,0.0,1000,0.04,10.0.0.7,0.1230000000000473,1
300000000.0,14962.0,401.0,0.0,1000,0.04,10.0.0.7,0.15000000000009095,1
300000000.0,14962.0,401.0,0.0,1000,0.04,10.0.0.7,0.1690000000000964,1
300000000.0,14962.0,401.0,0.0,1000,0.04,10.0.0.7,0.1850000000001728,1
300000000.0,14962.0,401.0,0.0,1000,0.04,10.0.0.7,0.20000000000004547,1
300000000.0,14962.0,401.0,0.0,1000,0.04,10.0.0.7,0.21500000000014552,1
300000000.0,14962.0,401.0,0.0,1000,0.04,10.0.0.7,0.23500000000012733,1
300000000.0,14962.0,401.0,0.0,1000,0.04,10.0.0.7,0.25500000000010914,1
300000000.0,14962.0,401.0,0.0,1000,0.04,10.0.0.7,0.27500000000009095,1
300000000.0,14962.0,401.0,0.0,1000,0.04,10.0.0.7,0.28899999999998727,1
300000000.0,14962.0,401.0,0.0,1000,0.04,10.0.0.7,0.3020000000001346,1
300000000.0,14962.0,401.0,0.0,1000,0.04,10.0.0.7,0.3160000000000309,1
300000000.0,14962.0,401.0,0.0,1000,0.04,10.0.0.7,0.33400000000006,1
300000000.0,14962.0,401.0,0.0,1000,0.04,10.0.0.7,0.34900000000016007,1
300000000.0,14962.0,401.0,0.0,1000,0.04,10.0.0.7,0.36400000000003274,1
300000000.0,14962.0,401.0,0.0,1000,0.04,10.0.0.7,0.3830000000000382,1
300000000.0,14962.0,401.0,0.0,1000,0.04,10.0.0.7,0.39800000000013824,1
300000000.0,14962.0,401.0,0.0,1000,0.04,10.0.0.7,0.41200000000003456,1
300000000.0,14962.0,401.0,0.0,1000,0.04,10.0.0.7,0.42600000000015825,1
300000000.0,14962.0,401.0,0.0,1000,0.04,10.0.0.7,0.4450000000001637,1
300000000.0,14962.0,401.0,0.0,1000,0.04,10.0.0.7,0.4630000000001928,1
300000000.0,14962.0,401.0,0.0,1000,0.04,10.0.0.7,0.48500000000012733,1
300000000.0,14962.0,401.0,0.0,1000,0.04,10.0.0.7,0.5010000000002037,1
300000000.0,14962.0,401.0,0.0,1000,0.04,10.0.0.7,0.5150000000001,1
300000000.0,14962.0,401.0,0.0,1000,0.04,10.0.0.7,0.5289999999999964,1
300000000.0,14962.0,401.0,0.0,1000,0.04,10.0.0.7,0.5460000000000491,1
300000000.0,14962.0,401.0,0.0,1000,0.04,10.0.0.7,0.5640000000000782,1
300000000.0,14962.0,401.0,0.0,1000,0.04,10.0.0.7,0.5790000000001783,1
300000000.0,14962.0,401.0,0.0,1000,0.04,10.0.0.7,0.5930000000000746,1
300000000.0,14962.0,401.0,0.0,1000,0.04,10.0.0.7,0.6059999999999945,1
300000000.0,14962.0,401.0,0.0,1000,0.04,10.0.0.7,0.6190000000001419,1
300000000.0,14962.0,401.0,0.0,1000,0.04,10.0.0.7,0.637000000000171,1
300000000.0,14962.0,401.0,0.0,1000,0.04,10.0.0.7,0.6550000000002001,1
300000000.0,14962.0,401.0,0.0,1000,0.04,10.0.0.7,0.6700000000000728,1
300000000.0,14962.0,401.0,0.0,1000,0.04,10.0.0.7,0.6829999999999927,1
300000000.0,14962.0,401.0,0.0,1000,0.04,10.0.0.7,0.6960000000001401,1
300000000.0,14962.0,401.0,0.0,1000,0.04,10.0.0.7,0.7100000000000364,1
300000000.0,14962.0,401.0,0.0,1000,0.04,10.0.0.7,0.7230000000001837,1
300000000.0,14962.0,401.0,0.0,1000,0.04,10.0.0.7,0.7380000000000564,1
300000000.0,14962.0,401.0,0.0,1000,0.04,10.0.0.7,0.7530000000001564,1
300000000.0,14962.0,401.0,0.0,1000,0.04,10.0.0.7,0.7690000000000055,1
300000000.0,14962.0,401.0,0.0,1000,0.04,10.0.0.7,0.7850000000000819,1
300000000.0,14962.0,401.0,0.0,1000,0.04,10.0.0.7,0.8160000000000309,1
300000000.0,14962.0,401.0,0.0,1000,0.04,10.0.0.7,0.8369999999999891,1
300000000.0,14962.0,401.0,0.0,1000,0.04,10.0.0.7,0.859000000000151,1
300000000.0,14962.0,401.0,0.0,1000,0.04,10.0.0.7,0.8770000000001801,1
300000000.0,14962.0,401.0,0.0,1000,0.04,10.0.0.7,0.8920000000000528,1
300000000.0,14962.0,401.0,0.0,1000,0.04,10.0.0.7,0.9329999999999927,1
300000000.0,14962.0,401.0,0.0,1000,0.04,10.0.0.7,0.9570000000001073,1
300000000.0,14962.0,401.0,0.0,1000,0.04,10.0.0.7,0.9790000000000418,1
300000000.0,14962.0,401.0,0.0,1000,0.04,10.0.0.7,1.0,1
300000000.0,14962.0,401.0,0.0,1000,0.04,10.0.0.7,1.0150000000001,1
300000000.0,14962.0,401.0,0.0,1000,0.04,10.0.0.7,1.0360000000000582,1
